,year,parent_name,cmpy,newid,Ucmpy,score,gvkey
0,1987,3M CO,3M,3,3M,1,7435
1,1987,3M CO INC,3M,3,3M,1,7435
2,1988,3M CO,3M,3,3M,1,7435
3,1988,3M CO INC,3M,3,3M,1,7435
4,1989,3M CO INC,3M,3,3M,1,7435
5,1989,3M CO,3M,3,3M,1,7435
6,1990,3M CO,3M,3,3M,1,7435
7,1990,3M CO INC,3M,3,3M,1,7435
8,1991,3M CO,3M,3,3M,1,7435
9,1991,3M CO INC,3M,3,3M,1,7435
10,1992,3M CO INC,3M,3,3M,1,7435
11,1992,3M CO,3M,3,3M,1,7435
12,1993,3M CO,3M,3,3M,1,7435
13,1993,3M CO INC,3M,3,3M,1,7435
14,1994,3M CO INC,3M,3,3M,1,7435
15,1994,3M CO,3M,3,3M,1,7435
16,1995,3M CO INC,3M,3,3M,1,7435
17,1995,3M CO,3M,3,3M,1,7435
18,1996,3M CO INC,3M,3,3M,1,7435
19,1996,3M CO,3M,3,3M,1,7435
20,1997,3M CO INC,3M,3,3M,1,7435
21,1997,3M CO,3M,3,3M,1,7435
22,1998,3M CO INC,3M,3,3M,1,7435
23,1998,3M CO,3M,3,3M,1,7435
24,1999,3M CO INC,3M,3,3M,1,7435
25,1999,3M CO,3M,3,3M,1,7435
26,2000,3M CO,3M,3,3M,1,7435
27,2000,3M CO INC,3M,3,3M,1,7435
28,2001,3M CO INC,3M,3,3M,1,7435
29,2001,3M CO,3M,3,3M,1,7435
30,2002,3M CO INC,3M,3,3M,1,7435
31,2002,3M CO,3M,3,3M,1,7435
32,2003,3M,3M,3,3M,1,7435
33,2003,3M CO INC,3M,3,3M,1,7435
34,2003,3M CO,3M,3,3M,1,7435
35,2004,3M CO,3M,3,3M,1,7435
36,2004,3M,3M,3,3M,1,7435
37,2004,3M CO INC,3M,3,3M,1,7435
38,2005,3M CO INC,3M,3,3M,1,7435
39,2005,3M CO,3M,3,3M,1,7435
40,2005,3M,3M,3,3M,1,7435
41,2006,3M,3M,3,3M,1,7435
42,2006,3M CO,3M,3,3M,1,7435
43,2007,3M,3M,3,3M,1,7435
44,2007,3M CO,3M,3,3M,1,7435
45,2008,3M,3M,3,3M,1,7435
46,2008,3M CO,3M,3,3M,1,7435
47,2009,3M CO,3M,3,3M,1,7435
48,2009,3M,3M,3,3M,1,7435
49,2010,3M CO,3M,3,3M,1,7435
50,2011,3M CO,3M,3,3M,1,7435
51,2012,3M CO,3M,3,3M,1,7435
52,2013,3M CO,3M,3,3M,1,7435
53,2014,3M CO,3M,3,3M,1,7435
54,1996,AAON INC,AAON,18,AAON,1,21542
55,1987,AAR CORP,AAR,19,AAR,1,1004
56,1988,AAR CORP,AAR,19,AAR,1,1004
57,1989,AAR CORP,AAR,19,AAR,1,1004
58,1990,AAR CORP,AAR,19,AAR,1,1004
59,1991,AAR CORP,AAR,19,AAR,1,1004
60,1992,AAR CORP,AAR,19,AAR,1,1004
61,1993,AAR CORP,AAR,19,AAR,1,1004
62,1994,AAR CORP,AAR,19,AAR,1,1004
63,1995,AAR CORP,AAR,19,AAR,1,1004
64,1996,AAR CORP,AAR,19,AAR,1,1004
65,1997,AAR CORP,AAR,19,AAR,1,1004
66,1998,AAR CORP,AAR,19,AAR,1,1004
67,1999,AAR CORP,AAR,19,AAR,1,1004
68,2000,AAR CORP,AAR,19,AAR,1,1004
69,2001,AAR CORP,AAR,19,AAR,1,1004
70,2002,AAR CORP,AAR,19,AAR,1,1004
71,2003,AAR CORP,AAR,19,AAR,1,1004
72,2004,AAR CORP,AAR,19,AAR,1,1004
73,2005,AAR CORP,AAR,19,AAR,1,1004
74,2006,AAR CORP,AAR,19,AAR,1,1004
75,2007,AAR CORP,AAR,19,AAR,1,1004
76,2008,AAR CORP,AAR,19,AAR,1,1004
77,2009,AAR CORP,AAR,19,AAR,1,1004
78,2010,AAR CORP,AAR,19,AAR,1,1004
79,2011,AAR CORP,AAR,19,AAR,1,1004
80,2012,AAR CORP,AAR,19,AAR,1,1004
81,2013,AAR CORP,AAR,19,AAR,1,1004
82,2014,AAR CORP,AAR,19,AAR,1,1004
83,1994,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
84,1995,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
85,1997,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
86,1998,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
87,1999,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
88,2000,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
89,2001,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
90,2002,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
91,2003,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
92,2004,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
93,2005,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
94,1987,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
95,1987,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
96,1988,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
97,1988,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
98,1989,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
99,1989,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
100,1990,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
101,1990,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
102,1991,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
103,1991,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
104,1992,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
105,1992,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
106,1993,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
107,1993,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
108,1994,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
109,1994,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
110,1995,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
111,1995,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
112,1996,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
113,1996,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
114,1997,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
115,1997,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
116,1998,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
117,1998,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
118,1999,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
119,1999,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
120,2000,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
121,2000,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
122,2001,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
123,2001,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
124,2002,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
125,2003,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
126,2004,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
127,2005,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
128,2006,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
129,2007,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
130,2008,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
131,2009,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
132,2010,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
133,2011,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
134,2012,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
135,2013,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
136,2014,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
137,2008,ABBVIE INC.,ABBVIE,29,ABBVIE,1,16101
138,2008,ABBVIE INC,ABBVIE,29,ABBVIE,1,16101
139,2009,ABBVIE INC.,ABBVIE,29,ABBVIE,1,16101
140,2009,ABBVIE INC,ABBVIE,29,ABBVIE,1,16101
141,2010,ABBVIE INC,ABBVIE,29,ABBVIE,1,16101
142,2010,ABBVIE INC.,ABBVIE,29,ABBVIE,1,16101
143,2011,ABBVIE INC.,ABBVIE,29,ABBVIE,1,16101
144,2011,ABBVIE INC,ABBVIE,29,ABBVIE,1,16101
145,2012,ABBVIE INC.,ABBVIE,29,ABBVIE,1,16101
146,2012,ABBVIE INC,ABBVIE,29,ABBVIE,1,16101
147,2013,ABBVIE INC,ABBVIE,29,ABBVIE,1,16101
148,2013,ABBVIE INC.,ABBVIE,29,ABBVIE,1,16101
149,2014,ABBVIE INC.,ABBVIE,29,ABBVIE,1,16101
150,2014,ABBVIE INC,ABBVIE,29,ABBVIE,1,16101
151,1993,ABC-NACO INC,ABCNACO,33,ABCNACO,1,29395
152,1994,ABC-NACO INC,ABCNACO,33,ABCNACO,1,29395
153,1995,ABC-NACO INC,ABCNACO,33,ABCNACO,1,29395
154,1996,ABC-NACO INC,ABCNACO,33,ABCNACO,1,29395
155,1997,ABC-NACO INC,ABCNACO,33,ABCNACO,1,29395
156,1998,ABC-NACO INC,ABCNACO,33,ABCNACO,1,29395
157,1999,ABC-NACO INC,ABCNACO,33,ABCNACO,1,29395
158,2000,ABC-NACO INC,ABCNACO,33,ABCNACO,1,29395
159,2008,ACCELLENT INC.,ACCELLENT,56,ACCELLENT,1,162928
160,2008,ACCELLENT INC,ACCELLENT,56,ACCELLENT,1,162928
161,2009,ACCELLENT INC.,ACCELLENT,56,ACCELLENT,1,162928
162,2009,ACCELLENT INC,ACCELLENT,56,ACCELLENT,1,162928
163,2010,ACCELLENT INC.,ACCELLENT,56,ACCELLENT,1,162928
164,2010,ACCELLENT INC,ACCELLENT,56,ACCELLENT,1,162928
165,2011,ACCELLENT INC.,ACCELLENT,56,ACCELLENT,1,162928
166,2011,ACCELLENT INC,ACCELLENT,56,ACCELLENT,1,162928
167,2012,ACCELLENT INC.,ACCELLENT,56,ACCELLENT,1,162928
168,2012,ACCELLENT INC,ACCELLENT,56,ACCELLENT,1,162928
169,2003,ACCO BRANDS CORP,ACCOBRANDS,58,ACCOBRANDS,1,164506
170,2004,ACCO BRANDS CORP,ACCOBRANDS,58,ACCOBRANDS,1,164506
171,2005,ACCO BRANDS CORP,ACCOBRANDS,58,ACCOBRANDS,1,164506
172,2006,ACCO BRANDS CORP,ACCOBRANDS,58,ACCOBRANDS,1,164506
173,2007,ACCO BRANDS CORP,ACCOBRANDS,58,ACCOBRANDS,1,164506
174,2008,ACCO BRANDS CORP,ACCOBRANDS,58,ACCOBRANDS,1,164506
175,2009,ACCO BRANDS CORP,ACCOBRANDS,58,ACCOBRANDS,1,164506
176,2010,ACCO BRANDS CORP,ACCOBRANDS,58,ACCOBRANDS,1,164506
177,2011,ACCO BRANDS CORP,ACCOBRANDS,58,ACCOBRANDS,1,164506
178,2012,ACCO BRANDS CORP,ACCOBRANDS,58,ACCOBRANDS,1,164506
179,1999,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
180,2000,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
181,2001,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
182,2002,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
183,2003,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
184,2004,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
185,2005,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
186,2006,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
187,2007,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
188,2008,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
189,2009,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
190,2010,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
191,2011,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
192,2012,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
193,2013,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
194,2014,ACCURIDE CORP,ACCURIDE,67,ACCURIDE,1,145979
195,1987,ACETO CORP,ACETO,74,ACETO,1,1094
196,1988,ACETO CORP,ACETO,74,ACETO,1,1094
197,1989,ACETO CORP,ACETO,74,ACETO,1,1094
198,1990,ACETO CORP,ACETO,74,ACETO,1,1094
199,1998,ACG HOLDINGS,ACG,77,ACG,1,128718
200,2000,ACG HOLDINGS INC,ACG,77,ACG,1,128718
201,2000,ACG HOLDINGS,ACG,77,ACG,1,128718
202,2001,ACG HOLDINGS,ACG,77,ACG,1,128718
203,2001,ACG HOLDINGS INC,ACG,77,ACG,1,128718
204,2002,ACG HOLDINGS,ACG,77,ACG,1,128718
205,2002,ACG HOLDINGS INC,ACG,77,ACG,1,128718
206,2003,ACG HOLDINGS,ACG,77,ACG,1,128718
207,2003,ACG HOLDINGS INC,ACG,77,ACG,1,128718
208,2004,ACG HOLDINGS,ACG,77,ACG,1,128718
209,2004,ACG HOLDINGS INC,ACG,77,ACG,1,128718
210,2005,ACG HOLDINGS,ACG,77,ACG,1,128718
211,2005,ACG HOLDINGS INC,ACG,77,ACG,1,128718
212,2006,ACG HOLDINGS,ACG,77,ACG,1,128718
213,2006,ACG HOLDINGS INC,ACG,77,ACG,1,128718
214,1987,ACME-CLEVELAND CORP,ACMECLEVELAND,83,ACMECLEVELAND,1,1098
215,1988,ACME-CLEVELAND CORP,ACMECLEVELAND,83,ACMECLEVELAND,1,1098
216,1989,ACME-CLEVELAND CORP,ACMECLEVELAND,83,ACMECLEVELAND,1,1098
217,1990,ACME-CLEVELAND CORP,ACMECLEVELAND,83,ACMECLEVELAND,1,1098
218,1988,ACME ELECTRIC CORP,ACMEELECTRIC,84,ACMEELECTRIC,1,1099
219,1987,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
220,1988,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
221,1989,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
222,1990,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
223,1991,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
224,1992,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
225,1993,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
226,1994,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
227,1995,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
228,1996,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
229,1997,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
230,1998,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
231,1999,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
232,2000,ACME METALS INC,ACMEMETALS,86,ACMEMETALS,1,12569
233,1987,ACME UNITED CORP,ACMEUNITED,92,ACMEUNITED,1,1104
234,1988,ACME UNITED CORP,ACMEUNITED,92,ACMEUNITED,1,1104
235,1989,ACME UNITED CORP,ACMEUNITED,92,ACMEUNITED,1,1104
236,1990,ACME UNITED CORP,ACMEUNITED,92,ACMEUNITED,1,1104
237,1991,ACME UNITED CORP,ACMEUNITED,92,ACMEUNITED,1,1104
238,1992,ACME UNITED CORP,ACMEUNITED,92,ACMEUNITED,1,1104
239,1993,ACME UNITED CORP,ACMEUNITED,92,ACMEUNITED,1,1104
240,1994,ACME UNITED CORP,ACMEUNITED,92,ACMEUNITED,1,1104
241,1996,ACORN PRODUCTS,ACORNPROD,98,ACORNPROD,1,64964
242,1987,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
243,1988,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
244,1989,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
245,1990,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
246,1991,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
247,1992,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
248,1993,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
249,1994,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
250,1995,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
251,1996,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
252,1997,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
253,1998,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
254,1999,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
255,2000,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
256,2001,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
257,2002,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
258,2003,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
259,2004,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
260,2005,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
261,2006,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
262,2007,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
263,2008,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
264,2009,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
265,2010,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
266,2011,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
267,2012,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
268,2013,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
269,2014,ACTUANT CORP,ACTUANT,109,ACTUANT,1,1706
270,2000,ACUITY BRANDS,ACUITYBRANDS,110,ACUITYBRANDS,1,146017
271,2001,ACUITY BRANDS INC,ACUITYBRANDS,110,ACUITYBRANDS,1,146017
272,2001,ACUITY BRANDS,ACUITYBRANDS,110,ACUITYBRANDS,1,146017
273,2002,ACUITY BRANDS,ACUITYBRANDS,110,ACUITYBRANDS,1,146017
274,2005,ACUITY BRANDS,ACUITYBRANDS,110,ACUITYBRANDS,1,146017
275,2006,ACUITY BRANDS,ACUITYBRANDS,110,ACUITYBRANDS,1,146017
276,1987,ADACORP INC,ADACORP,123,ADACORP,1,1116
277,1988,ADACORP INC,ADACORP,123,ADACORP,1,1116
278,1987,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
279,1988,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
280,1989,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
281,1990,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
282,1991,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
283,1992,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
284,1993,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
285,1994,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
286,1995,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
287,1996,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
288,1997,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
289,1998,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
290,1999,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
291,2000,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
292,2001,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
293,2002,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
294,2003,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
295,2004,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
296,2005,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
297,2006,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
298,2007,ADC TELECOMMUNICATIONS INC,ADCTELECOM,130,ADCTELECOM,1,1013
299,1987,ADIENCE INC,ADIENCE,137,ADIENCE,1,21444
300,1988,ADIENCE INC,ADIENCE,137,ADIENCE,1,21444
301,1987,ADVANCED CIRCUITS INC,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
302,1987,ADVANCED CIRCUITS,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
303,1988,ADVANCED CIRCUITS INC,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
304,1988,ADVANCED CIRCUITS,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
305,1989,ADVANCED CIRCUITS,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
306,1989,ADVANCED CIRCUITS INC,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
307,1990,ADVANCED CIRCUITS,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
308,1990,ADVANCED CIRCUITS INC,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
309,1991,ADVANCED CIRCUITS INC,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
310,1992,ADVANCED CIRCUITS INC,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
311,1993,ADVANCED CIRCUITS INC,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
312,1994,ADVANCED CIRCUITS INC,ADVANCEDCIRCUITS,153,ADVANCECIRCUITS,1,1137
313,2000,ADVANCED LIGHTING TECHNOLOGIES INC,ADVANCEDLIGHTINGTECH,159,ADVANCEDLIGHTINGTECH,1,61690
314,2001,ADVANCED LIGHTING TECHNOLOGIES INC,ADVANCEDLIGHTINGTECH,159,ADVANCEDLIGHTINGTECH,1,61690
315,2002,ADVANCED LIGHTING TECHNOLOGIES INC,ADVANCEDLIGHTINGTECH,159,ADVANCEDLIGHTINGTECH,1,61690
316,2003,ADVANCED LIGHTING TECHNOLOGIES INC,ADVANCEDLIGHTINGTECH,159,ADVANCEDLIGHTINGTECH,1,61690
317,1987,AEL INDUSTRIES INC,AELIND,174,AELIND,1,1017
318,1987,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
319,1988,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
320,1989,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
321,1990,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
322,1991,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
323,1992,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
324,1993,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
325,1994,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
326,1995,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
327,1996,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
328,1998,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
329,1999,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
330,2000,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
331,2001,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
332,2002,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
333,2003,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
334,2004,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
335,2005,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
336,2006,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
337,2007,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
338,2008,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
339,2009,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
340,2010,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
341,2011,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
342,2012,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
343,2013,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
344,2014,AEP INDUSTRIES INC,AEPIND,175,AEPIND,1,11903
345,1987,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
346,1988,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
347,1989,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
348,1990,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
349,1993,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
350,1994,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
351,1997,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
352,1998,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
353,1999,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
354,2000,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
355,2001,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
356,2002,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
357,2003,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
358,2004,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
359,2005,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
360,2006,AEROFLEX INC,AEROFLEX,177,AEROFLEX,1,1056
361,1987,AEROQUIP-VICKERS INC,AEROQUIPVICKERS,180,AEROQUIPVICKERS,1,6701
362,1988,AEROQUIP-VICKERS INC,AEROQUIPVICKERS,180,AEROQUIPVICKERS,1,6701
363,1989,AEROQUIP-VICKERS INC,AEROQUIPVICKERS,180,AEROQUIPVICKERS,1,6701
364,1990,AEROQUIP-VICKERS INC,AEROQUIPVICKERS,180,AEROQUIPVICKERS,1,6701
