Price,Close,High,Low,Open,Volume,Company,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,MMM,MMM,MMM,MMM,MMM,,AOS,AOS,AOS,AOS,AOS,ABT,ABT,ABT,ABT,ABT,ABBV,ABBV,ABBV,ABBV,ABBV,ACN,ACN,ACN,ACN,ACN,ADBE,ADBE,ADBE,ADBE,ADBE,AMD,AMD,AMD,AMD,AMD,AES,AES,AES,AES,AES,AFL,AFL,AFL,AFL,AFL,A,A,A,A,A
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,122.35741424560547,122.3642123773226,120.41328503335691,120.7803593353818,4307633.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,121.30379486083984,121.44654324108333,119.38685791314488,120.33173632437337,2950412.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,121.41936492919922,121.48054813019047,119.87630028570804,120.42011374512681,2389608.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,120.92992401123047,121.34458529762504,120.19577529679167,121.18822824462087,2598908.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,122.78567504882812,123.37707536788925,120.75998040196035,120.99790263717259,3298927.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,123.17314147949219,123.4382438347182,122.19428483740218,123.38387118039176,3284575.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,122.67692565917969,123.83931957308256,122.45259967391694,123.45185079999752,2516145.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,122.9828109741211,123.87330433432858,122.60214035222835,122.99640723957096,2500597.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,123.28870391845703,124.09082156483684,122.50018253772365,122.98281275211617,3481795.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,122.20790100097656,123.62181368353384,121.80005016163815,123.32272058694811,2968711.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,123.04399871826172,123.17315083945917,122.14670719215147,122.81967273539611,2571280.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,123.2751235961914,123.81893707632517,122.83328212159404,123.03721372731339,4413360.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,121.94276428222656,123.65576957962834,121.42614344006807,123.61498078555903,4027769.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,121.0182876586914,122.74488932562771,120.91632807267779,122.02434928007109,2894559.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,120.82121276855469,121.29704502728781,119.90352652250357,120.36576251052804,2820646.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,121.099853515625,122.22825660658263,120.67840654154706,121.33097760163584,3161148.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,119.3868408203125,122.75846602366171,119.32565763524576,122.26223962750305,5216234.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,112.55523681640625,117.15043978649516,112.19497298294553,116.85134674477008,10669157.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,110.12169647216797,113.16023877447898,109.80220901634765,113.07866117451493,6391304.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,110.46836853027344,110.55673185187104,107.91925479470109,109.44192490320223,5211092.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,107.85125732421875,110.56351343671123,107.55896246645266,110.1216720841497,6865399.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,106.44418334960938,108.97290296539974,106.30142254418497,108.78256763018715,4694898.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,106.8860092163086,108.73496482448131,106.72286643927427,108.60581271044403,5219224.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,110.34603881835938,110.34603881835938,107.87848972873151,108.16398656020652,3729367.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,110.7266845703125,112.16099151010373,110.44118777120892,111.814311508898,4082905.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,108.8165283203125,110.0672853137771,108.51062479831532,109.72060540681683,3272495.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,108.8641357421875,109.61867896964512,107.99403664593191,108.90492454482923,3294741.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,110.42758178710938,110.47516871789034,108.77575952923408,109.44192693875917,2721020.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
